p0000	PROTCATLG
p0001	PROTCATLG
p0002	PROTCATLG
p0003	PROTCATLG
p0004	PROTCATLG
p0005	PROTCATCPREVF
p0006	PROTCATLG
p0007	PROTCATLG
p0008	PROTCATLG
p0009	PROTCATLG
p0010	PROTCATLG
p0011	PROTCATRTREV
p0012	PROTCATLG
p0013	PROTCATLG
p0014	PROTCATLG
p0015	PROTCATLG
p0016	PROTCATLG
p0017	PROTCATLG
p0018	PROTCATLG
p0019	PROTCATLG
p0020	PROTCATLG
p0021	PROTCATLG
p0022	PROTCATLG
p0023	PROTCATLG
p0024	PROTCATLG
p0025	PROTCATLG
p0026	PROTCATLG
p0027	PROTCATLG
p0028	PROTCATLG
p0029	PROTCATLG
p0030	PROTCATLG
p0031	PROTCATLG
p0032	PROTCATRTREV
p0033	PROTCATLG
p0034	PROTCATRTREV
p0035	PROTCATLG
p0036	PROTCATLG
p0037	PROTCATLG
p0038	PROTCATLG
p0039	PROTCATLG
p0040	PROTCATLG
p0041	PROTCATLG
p0042	PROTCATLG
p0043	PROTCATRTREV
p0044	PROTCATLG
p0045	PROTCATLG
p0046	PROTCATLG
p0047	PROTCATLG
p0048	PROTCATRTREV
p0049	PROTCATLG
p0050	PROTCATLG
p0051	PROTCATLG
p0052	PROTCATLG
p0053	PROTCATCPREVF
p0054	PROTCATLG
p0055	PROTCATLG
p0056	PROTCATLG
p0057	PROTCATLG
p0058	PROTCATLG
p0059	PROTCATLG
p0060	PROTCATLG
p0061	PROTCATLG
p0062	PROTCATLG
p0063	PROTCATLG
p0064	PROTCATLG
p0065	PROTCATRTREV
p0066	PROTCATLG
p0067	PROTCATLG
p0068	PROTCATLG
p0069	PROTCATLG
p0070	PROTCATLG
p0071	PROTCATLG
p0072	PROTCATLG
p0073	PROTCATLG
p0074	PROTCATLG
p0075	PROTCATRTREV
p0076	PROTCATLG
p0077	PROTCATLG
p0078	PROTCATLG
p0079	PROTCATLG
p0080	PROTCATLG
p0081	PROTCATLG
p0082	PROTCATLG
p0083	PROTCATLG
p0084	PROTCATLG
p0085	PROTCATLG
p0086	PROTCATLG
p0087	PROTCATLG
p0088	PROTCATLG
p0089	PROTCATLG
p0090	PROTCATRTREV
p0091	PROTCATLG
p0092	PROTCATLG
p0093	PROTCATLG
p0094	PROTCATRTREV
p0095	PROTCATLG
p0096	PROTCATLG
p0097	PROTCATLG
p0098	PROTCATLG
p0099	PROTCATLG
p0100	PROTCATRTREV
p0101	PROTCATLG
p0102	PROTCATLG
p0103	PROTCATLG
p0104	PROTCATRTREV
p0105	PROTCATLG
p0106	PROTCATLG
p0107	PROTCATLG
p0108	PROTCATLG
p0109	PROTCATRTREV
p0110	PROTCATLG
p0111	PROTCATRTREV
p0112	PROTCATLG
p0113	PROTCATLG
p0114	PROTCATLG
p0115	PROTCATLG
p0116	PROTCATLG
p0117	PROTCATLG
p0118	PROTCATRTREV
p0119	PROTCATLG
p0120	PROTCATLG
p0121	PROTCATLG
p0122	PROTCATLG
p0123	PROTCATLG
p0124	PROTCATLG
p0125	PROTCATLG
p0126	PROTCATLG
p0127	PROTCATLG
p0128	PROTCATLG
p0129	PROTCATVT
p0130	PROTCATLG
p0131	PROTCATLG
p0132	PROTCATLG
p0133	PROTCATLG
p0134	PROTCATLG
p0135	PROTCATLG
p0136	PROTCATRTREV
p0137	PROTCATLG
p0138	PROTCATLG
p0139	PROTCATVT
p0140	PROTCATLG
p0141	PROTCATLG
p0142	PROTCATLG
p0143	PROTCATLG
p0144	PROTCATVT
p0145	PROTCATLG
p0146	PROTCATLG
p0147	PROTCATLG
p0148	PROTCATLG
p0149	PROTCATCPREVF
p0150	PROTCATLG
p0151	PROTCATCPREVF
p0152	PROTCATLG
p0153	PROTCATLG
p0154	PROTCATLG
p0155	PROTCATLG
p0156	PROTCATLG
p0157	PROTCATLG
p0158	PROTCATLG
p0159	PROTCATRTREV
p0160	PROTCATVT
p0161	PROTCATRTREV
p0162	PROTCATLG
p0163	PROTCATLG
p0164	PROTCATLG
p0165	PROTCATLG
p0166	PROTCATLG
p0167	PROTCATRTREV
p0168	PROTCATLG
p0169	PROTCATRTREV
p0170	PROTCATLG
p0171	PROTCATLG
p0172	PROTCATLG
p0173	PROTCATLG
p0174	PROTCATLG
p0175	PROTCATLG
p0176	PROTCATLG
p0177	PROTCATLG
p0178	PROTCATLG
p0179	PROTCATRTREV
p0180	PROTCATLG
p0181	PROTCATLG
p0182	PROTCATLG
p0183	PROTCATLG
p0184	PROTCATLG
p0185	PROTCATBLOSUM62
p0186	PROTCATLG
p0187	PROTCATLG
p0188	PROTCATLG
p0189	PROTCATLG
p0190	PROTCATLG
p0191	PROTCATLG
p0192	PROTCATLG
p0193	PROTCATLG
p0194	PROTCATRTREV
p0195	PROTCATLG
p0196	PROTCATPMB
p0197	PROTCATLG
p0198	PROTCATLG
p0199	PROTCATLG
p0200	PROTCATLG
p0201	PROTCATLG
p0202	PROTCATLG
p0203	PROTCATLG
p0204	PROTCATRTREV
p0205	PROTCATRTREV
p0206	PROTCATLG
p0207	PROTCATLG
p0208	PROTCATLG
p0209	PROTCATLG
p0210	PROTCATLG
p0211	PROTCATRTREV
p0212	PROTCATRTREV
p0213	PROTCATLG
p0214	PROTCATLG
p0215	PROTCATLG
p0216	PROTCATCPREVF
p0217	PROTCATLG
p0218	PROTCATLG
p0219	PROTCATCPREVF
p0220	PROTCATCPREVF
p0221	PROTCATLG
p0222	PROTCATRTREV
p0223	PROTCATLG
p0224	PROTCATLG
p0225	PROTCATCPREV
p0226	PROTCATLG
p0227	PROTCATLG
p0228	PROTCATRTREV
p0229	PROTCATLG
p0230	PROTCATRTREV
p0231	PROTCATLG
p0232	PROTCATLG
p0233	PROTCATCPREV
p0234	PROTCATRTREV
p0235	PROTCATLG
p0236	PROTCATRTREV
p0237	PROTCATLG
p0238	PROTCATLG
p0239	PROTCATLG
p0240	PROTCATCPREV
p0241	PROTCATLG
p0242	PROTCATLG
p0243	PROTCATVT
p0244	PROTCATLG
p0245	PROTCATRTREV
p0246	PROTCATRTREV
p0247	PROTCATLG
p0248	PROTCATLG
p0249	PROTCATRTREV
p0250	PROTCATLG
p0251	PROTCATVT
p0252	PROTCATLG
p0253	PROTCATLG
p0254	PROTCATLG
p0255	PROTCATVT
p0256	PROTCATRTREV
p0257	PROTCATLG
p0258	PROTCATVT
p0259	PROTCATLG
p0260	PROTCATLG
p0261	PROTCATLG
p0262	PROTCATCPREVF
p0263	PROTCATLG
p0264	PROTCATRTREV
p0265	PROTCATLG
p0266	PROTCATLG
p0267	PROTCATLG
p0268	PROTCATCPREVF
p0269	PROTCATLG
p0270	PROTCATLG
p0271	PROTCATLG
p0272	PROTCATLG
p0273	PROTCATCPREVF
p0274	PROTCATLG
p0275	PROTCATRTREV
p0276	PROTCATRTREV
p0277	PROTCATLG
p0278	PROTCATLG
p0279	PROTCATLG
p0280	PROTCATLG
p0281	PROTCATRTREV
p0282	PROTCATLG
p0283	PROTCATVT
p0284	PROTCATLG
p0285	PROTCATLG
p0286	PROTCATBLOSUM62
p0287	PROTCATLG
p0288	PROTCATLG
p0289	PROTCATLG
p0290	PROTCATLG
p0291	PROTCATCPREVF
p0292	PROTCATLG
p0293	PROTCATLG
p0294	PROTCATLG
p0295	PROTCATLG
p0296	PROTCATRTREV
p0297	PROTCATLG
p0298	PROTCATLG
p0299	PROTCATLG
p0300	PROTCATLG
p0301	PROTCATLG
p0302	PROTCATLG
p0303	PROTCATLG
p0304	PROTCATLG
p0305	PROTCATLG
p0306	PROTCATLG
p0307	PROTCATLG
p0308	PROTCATRTREV
p0309	PROTCATLG
p0310	PROTCATLG
p0311	PROTCATLG
p0312	PROTCATLG
p0313	PROTCATLG
p0314	PROTCATLG
p0315	PROTCATBLOSUM62
p0316	PROTCATLG
p0317	PROTCATLG
p0318	PROTCATRTREV
p0319	PROTCATLG
p0320	PROTCATRTREV
p0321	PROTCATLG
p0322	PROTCATLG
p0323	PROTCATLG
p0324	PROTCATLG
p0325	PROTCATLG
p0326	PROTCATLG
p0327	PROTCATLG
p0328	PROTCATCPREVF
p0329	PROTCATRTREV
p0330	PROTCATLG
p0331	PROTCATLG
p0332	PROTCATLG
p0333	PROTCATLG
p0334	PROTCATLG
p0335	PROTCATRTREV
p0336	PROTCATRTREV
p0337	PROTCATLG
p0338	PROTCATLG
p0339	PROTCATLG
p0340	PROTCATLG
p0341	PROTCATRTREV
p0342	PROTCATLG
p0343	PROTCATCPREVF
p0344	PROTCATCPREVF
p0345	PROTCATLG
p0346	PROTCATPMB
p0347	PROTCATLG
p0348	PROTCATLG
p0349	PROTCATRTREV
p0350	PROTCATLG
p0351	PROTCATLG
p0352	PROTCATLG
p0353	PROTCATRTREV
p0354	PROTCATLG
p0355	PROTCATLG
p0356	PROTCATLG
p0357	PROTCATCPREVF
p0358	PROTCATVT
p0359	PROTCATRTREV
p0360	PROTCATBLOSUM62
p0361	PROTCATRTREV
p0362	PROTCATLG
p0363	PROTCATLG
p0364	PROTCATLG
p0365	PROTCATLG
p0366	PROTCATRTREV
p0367	PROTCATLG
p0368	PROTCATCPREV
p0369	PROTCATLG
p0370	PROTCATRTREV
p0371	PROTCATLG
p0372	PROTCATLG
p0373	PROTCATLG
p0374	PROTCATVT
p0375	PROTCATLG
p0376	PROTCATLG
p0377	PROTCATLG
p0378	PROTCATLG
p0379	PROTCATLG
p0380	PROTCATLG
p0381	PROTCATLG
p0382	PROTCATLG
p0383	PROTCATLG
p0384	PROTCATVT
p0385	PROTCATLG
p0386	PROTCATLG
p0387	PROTCATCPREVF
p0388	PROTCATLG
p0389	PROTCATLG
p0390	PROTCATRTREV
p0391	PROTCATLG
p0392	PROTCATLG
p0393	PROTCATLG
p0394	PROTCATLG
p0395	PROTCATLG
p0396	PROTCATVT
p0397	PROTCATLG
p0398	PROTCATLG
p0399	PROTCATLG
